DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.426,73 D;;;;;;;;
;;;;;;;;;
10/02/21;1,1E+15;TAR PACOTE MENSAL BASICO II;52111003;1;;;;0;20,06586826
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.319,26 D;;;;;;;;
;;;;;;;;;
DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
11/02/21;1,1E+15;PGTO. RESCISAO;21115010;1;;;;0;2747,726946
11/02/21;1,1E+15;PGTO. RESCISAO;21115010;1;;;;0;821,4227545
11/02/21;1,1E+15;ADTO. SALARIO;11319003;1;;;;0;2098,203593
11/02/21;1,1E+15;REC. SABRINA YOUNG EUN KIM;;1;;;;1778,388024;0
11/02/21;1,1E+15;PGTO NF 000288853 RPB 03 ADMINISTRACA;;1;;;;0;7619,082635
;;;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000007533 - ELS CURSOS DE IDIO;;1;;;;0;606,7868263
12/02/21;;MAS E COMERCIO DE LIVR;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000000148 - SPOK STUDIO LTDA;;1;;;;0;359,2814371
12/02/21;;ME;;;;;;;
12/02/21;1,1E+15;PGTO. FT  000000135 - JOHN RICHARD LOCAC;;1;;;;0;36,1005988
12/02/21;;AO DE MOVEIS LTDA.;;;;;;;
12/02/21;1,1E+15;PGTO. FT  000285472 - JOHN RICHARD LOCAC;;1;;;;0;64,41197605
12/02/21;;AO DE MOVEIS LTDA.;;;;;;;
12/02/21;1,1E+15;PGTO. FT  000285482 - JOHN RICHARD LOCAC;;1;;;;0;9,494610778
12/02/21;;AO DE MOVEIS LTDA.;;;;;;;
12/02/21;1,1E+15;PGTO. FT  000285486 - JOHN RICHARD LOCAC;;1;;;;0;27,51976048
12/02/21;;AO DE MOVEIS LTDA.;;;;;;;
12/02/21;1,1E+15;PGTO. FT  000285488 - JOHN RICHARD LOCAC;;1;;;;0;121,6994012
12/02/21;;AO DE MOVEIS LTDA.;;;;;;;
12/02/21;1,1E+15;PGTO. NF  002799951 - LOGGI TECNOLOGIA L;;1;;;;0;713,0646707
12/02/21;;TDA;;;;;;;
12/02/21;1,1E+15;PGTO. RED 0005B829D - FILIPE NUNES;;1;;;;0;317,5305389
12/02/21;1,1E+15;PGTO. NF  000008646 - INNOVATION CREATIV;;1;;;;0;96,64670659
12/02/21;;E STUDIO CURSO DE ESCU;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000013965 - TRULY NOLEN SAN PA;;1;;;;0;304,451497
12/02/21;;BLO CONTROLADORA AMBIE;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000000022 - GALDINO SA PRODUCO;;1;;;;0;950,6586826
12/02/21;;ES CINEMATOGRAFICAS LT;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000000129 - HUGO LOPES PODADER;;1;;;;0;2728,742515
12/02/21;;A;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000000130 - HUGO LOPES PODADER;;1;;;;0;383,2335329
12/02/21;;A;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000000149 - SPOK STUDIO LTDA;;1;;;;0;335,3293413
12/02/21;;ME;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000001441 - INPUTSOM ARTE SONO;;1;;;;0;125,748503
12/02/21;;RA LTDA;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000001455 - CARPE DIEM  EMPREE;;1;;;;0;879,7161677
12/02/21;;NDIMENTOS LTDA;;;;;;;
12/02/21;1,1E+15;PGTO. NF  000001456 - CARPE DIEM  EMPREE;;1;;;;0;27,54491018
12/02/21;;NDIMENTOS LTDA;;;;;;;
12/02/21;1,1E+15;PGTO. RED 000FFAE08 - RAFAEL FASSINI;;1;;;;0;115,8538922
12/02/21;1,1E+15;PGTO NF 000077673 KPMG AUDITORES INDEP;;1;;;;0;4128,802395
12/02/21;1,1E+15;PGTO NF 000000042 LIZ MOSCHEN 39999886;;1;;;;0;778,4431138
12/02/21;1,1E+15;PGTO NF 000000195 PRINT LAB STORE LTDA;;1;;;;0;143,7125749
12/02/21;1,1E+15;PGTO NF 000000055 RICARDO MACIEL DE AN;;1;;;;0;583,8323353
12/02/21;1,1E+15;PGTO NF 000020213 TARCISIO DE SOUZA RE;;1;;;;0;1077,844311
12/02/21;1,1E+15;PGTO NF 000172767 INGRAM MICRO BRASIL;;1;;;;0;13353,29341
12/02/21;1,1E+15;PGTO NF 000000383 CREATORS AGENCIAMENT;;1;;;;0;718,5628743
12/02/21;1,1E+15;PGTO NF 000285678 PREFEITURA DO ESTADO;;1;;;;0;1374,51976
12/02/21;1,1E+15;FT OP-TES COMPROMISSADA;;1;;;;37875,79162;0
12/02/21;1,1E+15;REND PAGO APLIC AUT MAIS;52112006;1;;;;0,017964072;0
12/02/21;1,1E+15;PGTO NF 000230689 99 TECNOLOGIA LTDA;;1;;;;0;41,33053892
12/02/21;1,1E+15;PGTO NF 000000019 STEFANO BORGES GIRAR;;1;;;;0;1422,686228
12/02/21;1,1E+15;PGTO NF 000009471 CONTÁBIL ESQUEMA LTD;;1;;;;0;57,96407186
